,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,wqi
157,18.9,7.4,7.1,57.0,1.5,2.9,40.0,94.18
158,25.1,7.5,7.4,144.0,1.7,3.5,59.0,88.38
159,18.8,7.1,7.1,63.0,1.9,5.6,48.0,94.18
160,20.2,7.3,7.2,65.0,1.9,3.3,48.0,94.18
161,20.0,7.3,7.3,65.0,2.0,3.0,54.0,88.56
162,18.2,7.2,7.0,66.0,1.9,3.7,60.0,88.56
163,22.1,7.7,7.2,62.0,1.6,3.0,59.0,88.56
164,17.6,7.3,6.9,61.0,2.2,2.0,52.0,85.26
165,23.1,7.2,7.2,124.0,6.9,4.5,552.0,73.4
166,22.6,7.2,7.1,65.0,2.1,2.4,120.0,88.56
167,20.0,7.5,7.3,64.0,1.9,3.3,42.0,94.18
168,19.9,7.6,7.3,65.0,1.9,3.8,43.0,94.18
169,24.5,7.1,7.3,269.0,1.4,0.1,115.0,88.02
170,24.4,7.2,7.3,275.0,1.5,0.1,68.0,88.02
171,23.6,6.9,7.1,186.0,1.6,0.1,29.0,93.82
172,23.5,6.8,7.1,201.0,1.4,0.2,86.0,88.2
173,27.3,6.2,7.8,165.0,2.1,0.0,340.0,88.2
174,29.1,6.4,7.8,158.0,4.1,0.5,500.0,83.52
175,26.6,6.6,7.9,210.0,4.2,1.9,572.0,77.9
176,27.1,7.3,7.9,693.0,0.5,1.0,173.0,87.66
177,24.5,6.0,7.7,1863.0,8.6,1.0,1183.0,72.68
178,27.5,5.3,7.8,817.0,2.8,1.0,23.0,87.66
179,28.0,6.8,8.0,59.0,1.0,0.0,2.0,99.8
180,27.6,6.8,8.2,1862.0,2.5,0.87,64.0,87.66
181,28.0,5.0,8.0,59.0,0.7,0.0,1600.0,71.7
182,28.0,3.0,7.7,59.0,0.4,0.0,1600.0,66.08
183,27.0,6.7,8.1,2520.0,7.2,1.0,41.0,83.92
184,29.0,8.2,8.4,606.0,2.9,0.0,1600.0,82.0399999999999
185,28.0,6.8,8.0,59.0,1.0,0.1,1600.0,82.94
186,30.4,5.5,6.7,209.0,0.8,0.17,2915.0,70.36
188,30.3,5.3,7.3,182.0,1.5,0.08,3080.0,76.96
190,29.9,5.7,6.9,111.0,1.0,0.14,3061.0,73.84
191,27.9,7.0,6.9,64.0,1.1,0.09,2841.0,79.64
193,28.8,7.0,7.0,55.0,1.2,0.66,2813.0,82.94
195,29.8,6.7,6.8,83.0,1.2,0.17,3559.0,79.46
196,29.7,7.1,6.6,76.0,1.0,0.12,3527.0,72.86
197,28.7,6.7,6.6,107.0,1.3,0.22,3757.0,72.86
198,27.9,7.2,6.7,89.0,0.9,0.06,1996.0,76.16
200,29.8,5.6,7.7,142.0,1.7,0.14,3644.0,77.14
201,30.6,5.2,7.1,306.0,2.6,0.34,1525.0,76.42
203,29.6,6.9,6.7,63.0,0.9,0.21,1132.0,76.34
204,29.6,6.3,7.6,227.0,1.7,0.08,3612.0,82.4
205,26.7,6.9,7.7,121.0,3.3,1.0,163.0,83.7
206,29.3,7.2,8.2,112.0,3.3,1.0,94.0,83.7
207,28.0,6.9,7.7,103.0,3.7,0.57,103.0,83.7
208,28.2,6.9,7.6,104.0,3.5,0.75,79.0,83.7
209,26.5,6.4,7.4,1003.0,4.3,2.89,753.0,77.36
